ID,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Soil_Type,Horizontal_Distance_To_Fire_Points
0000437495769,3106,347,5,42,1,1400,210,231,160,7202,1348
0002983472225,3132,121,1,0,0,466,221,237,152,7101,2614
0004070272466,3255,69,13,162,16,870,233,214,110,7756,904
0005686764697,3208,64,19,362,64,1473,234,199,90,7201,4831
0005721364516,3224,149,15,255,59,1604,239,238,124,7202,1557
0007144414601,3242,269,13,124,24,953,185,244,199,7202,1831
0007335785220,3194,158,14,134,29,1495,234,242,135,7202,1691
0007761296949,3259,11,22,511,122,1187,190,189,129,7700,5220
0008784190160,3270,96,23,607,109,1288,250,199,65,4758,1727
0009174673355,3177,260,20,162,37,1214,166,246,216,8776,1374
0009662330401,3292,329,21,371,93,560,165,210,182,7757,424
0009669649063,3217,338,13,228,39,1026,192,222,168,7756,644
0009999117126,3182,67,12,134,8,2151,232,217,116,7101,4294
0010691807307,3213,304,9,190,30,811,196,236,179,7700,771
0012217965560,3286,124,19,636,125,1237,248,223,95,4758,1766
0015476562143,3245,100,19,30,-8,2484,248,211,84,7757,4001
0015598487737,3401,247,19,150,33,1994,177,251,209,7756,3610
0015774963697,3329,318,24,67,17,1248,149,210,197,8772,1533
0016418710059,3443,39,12,300,-9,1655,220,213,126,8703,3581
0017227690808,3203,114,20,540,82,547,250,215,83,7756,752
0017812362479,3238,6,6,67,7,616,212,227,153,7101,1170
0017899687076,3225,59,10,150,21,966,228,219,124,7756,1006
0021525230697,3168,166,11,277,32,532,229,244,145,7756,2616
0021833792115,3222,75,11,150,18,972,233,220,117,7756,1015
0023455250745,3154,201,3,0,0,1376,218,242,161,7101,1878
0024684939982,3372,52,13,228,-5,1387,227,212,117,8703,3628
0025644834514,3191,317,18,150,30,566,169,221,191,7757,2408
0026910318974,3182,329,7,277,-3,1214,204,232,167,7756,666
0030783693144,3080,329,14,201,18,466,186,223,176,7201,849
0032091890949,3141,169,14,242,12,395,230,245,144,7101,2731
0032725950483,3252,293,17,277,52,376,169,234,204,7757,671
0033074837340,3164,130,11,242,49,255,239,234,123,7756,2197
0036031198768,3110,4,8,67,6,376,210,225,153,7201,2079
0036165108848,3176,30,14,437,35,976,215,208,127,7202,2576
0039695087393,3408,272,21,390,60,696,159,241,218,8776,1110
0039778504540,3178,301,31,342,140,134,120,210,222,7201,2213
0040923968551,3070,330,13,175,43,446,188,224,175,7201,824
0041165039795,3061,276,9,60,9,192,197,242,184,7202,553
0041866268708,3201,53,14,362,6,1033,227,209,112,7756,1384
0041951883557,3185,54,16,277,52,711,228,203,104,7201,5332
